appartement;studio;maison;chambre;nb_photo;prix;nb_pieces;nb_chambres;surface;distance_station_0;distance_station_1;distance_station_2;Cathédrale Notre-Dame de Paris;Basilique du Sacré-Cœur de Montmartre;Musée du Louvre;Tour Eiffel;Centre Pompidou;Musée d’Orsay;Cité des sciences et de l’industrie;Chapelle Notre-Dame de la Médaille miraculeuse;Grand site du Jardin des plantes;Arc de triomphe;Grand Palais;distance_université_plus_près;arrondissement
1;0;0;0;6;385000;2;1;35;197.002284234837;400.549381727197;418.232783500726;2232.40703849076;2788.63529112279;2426.36595193248;5587.83688148102;1512.54911913736;3264.65718909045;3322.05682029832;3920.88321803316;2740.60658789199;5458.53554804546;4178.65600059814;2841.53823343934;0
1;0;0;0;12;675000;3;2;62;176.719241661071;577.329532086336;720.047982832828;4643.99912327374;1150.97803228327;3548.83102358492;4620.1291576757;3923.85677228477;3644.84473048067;4259.56100661479;4675.01309282691;5397.47645266118;3305.03345075111;3215.67686738693;4547.12395876672;1
0;1;0;0;10;189000;1;0;14;148.043832133409;409.898775428241;731.474553653901;4866.84947355277;1386.61072372266;3755.54988018019;4684.40452535533;4155.69929036273;3817.59446407983;4409.39783871152;4839.68952720251;5619.54128303871;3303.26405819403;3322.68235806654;4575.16981773223;1
1;0;0;0;7;995000;3;1;83;187.435018630093;774.48306118743;556.467804054785;2095.77309711638;2368.87678850802;2048.5865932084;5155.57499712399;1275.09299516566;2864.62365333166;3424.52733272391;3599.49868856592;2705.84654425736;4969.14173747675;3715.42103498788;2625.80006520036;0
1;0;0;0;6;437500;2;1;35;348.445850007727;418.690836755702;531.941362760811;2500.22418933147;2063.2237803856;2307.32385548706;5306.91694691153;1657.18910521516;3081.94091027499;3054.1087746926;3890.25625865533;3129.75536864613;4978.45388970309;3815.36686207389;2994.09604441767;0
0;1;0;0;4;175000;1;0;14;265.365703998008;448.350380450424;787.148825290159;2417.75040735829;2086.92146367698;2231.22754859492;5245.2452012382;1574.13332058196;3010.82726984636;3136.51492685955;3812.16827328419;3049.71561844967;4938.41513974318;3760.20375969189;2911.19173442838;0
0;1;0;0;5;175000;1;0;14;265.365703998008;639.149648149483;709.305917273053;2417.75040735829;2086.92146367698;2231.22754859492;5245.2452012382;1574.13332058196;3010.82726984636;3136.51492685955;3812.16827328419;3049.71561844967;4938.41513974318;3760.20375969189;2911.19173442838;0
0;0;0;1;12;95000;1;1;7;69.6332621949446;566.997749171426;438.145432431642;6027.21980486756;6764.63153152123;5256.91055759114;2096.25581999048;6286.56412489905;4408.51654428863;10083.6056910914;4042.86539273102;6252.83601207303;3178.8646346813;3639.88976807215;1911.57371080884;1
1;0;0;0;11;1170000;5;3;107;293.48740638653;322.630333746324;458.966781811686;3702.00430758541;7029.05712231638;4168.84908430084;4217.27615372427;4519.62613256301;3884.19437958089;9211.16719825785;2862.4139318625;3252.47795914804;5774.96996817676;4628.00761618339;2904.44841868555;1
1;0;0;0;9;528000;3;2;46;332.979251929362;319.024967179634;399.337841635104;3734.29171831979;3351.16991543971;3923.23411404873;7015.59022159119;3045.89215035336;4742.29104571825;2127.72051192759;5448.77218806412;4157.05384929474;6676.71188862709;5536.2421143749;4367.45732509413;1
